,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
0,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,48110000000.0,53.34,159.23,0.0068000000000000005,1731520.0
2,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,,17.69,0.013999999999999999,211930.0
3,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1210000000.0,59.21,9.71,0.0021,31452.0
5,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,,69.0,-0.0001,2463.0
6,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,126530000.0,,3.84,0.0026,176431.0
8,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,28120000.0,,14.27,0.0087,938.0
9,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,73610000.0,4.16,3.85,-0.0587,62285.0
11,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,203600000.0,,7.04,0.005699999999999999,791430.0
14,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2480160000000.0,29.2,149.1,0.0014000000000000002,59128182.0
15,AAQC,Accelerate Acquisition Corp.,Financial,Shell Companies,USA,386000000.0,,9.65,0.0,393833.0
16,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,2290000000.0,126.62,38.24,-0.0008,124902.0
17,AATC,Autoscope Technologies Corporation,Technology,Scientific & Technical Instruments,USA,39140000.0,16.5,7.13,0.0819,195882.0
20,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,,,87.56,-0.0042,373593.0
21,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,5130000000.0,15.2,50.66,0.013000000000000001,241461.0
23,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,207050000000.0,31.35,116.48,0.0073,4405291.0
24,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,24820000000.0,,119.57,-0.0039000000000000003,854627.0
25,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3450000000.0,8.29,50.43,-0.011000000000000001,220294.0
26,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,5050000000.0,22.85,17.89,0.1777,9967989.0
27,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,4660000000.0,,20.57,0.0069,19578.0
28,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,123580000.0,,1.23,-0.016,401807.0
29,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,,,28.02,0.0017000000000000001,1482.0
32,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,187110000.0,,9.69,-0.0031,2038.0
